STARE JOC	+1 la fiecare entity pe sector
SIMULARE	100000 jocuri
			10% random wins
K-means		2048
ALPHA		0.7
GAMMA 		0.3

games played:	100	wins: 10.0
games played:	200	wins: 9.0
games played:	300	wins: 7.33333333333
games played:	400	wins: 8.25
games played:	500	wins: 9.4
games played:	600	wins: 9.33333333333
games played:	700	wins: 9.42857142857
games played:	800	wins: 9.25
games played:	900	wins: 10.1111111111
games played:	1000	wins: 10.6
games played:	1100	wins: 10.7272727273
games played:	1200	wins: 10.5
games played:	1300	wins: 10.6153846154
games played:	1400	wins: 10.5714285714
games played:	1500	wins: 10.5333333333
games played:	1600	wins: 11.125
games played:	1700	wins: 11.1176470588
games played:	1800	wins: 11.1666666667
games played:	1900	wins: 11.3684210526
games played:	2000	wins: 11.7
games played:	2100	wins: 11.8095238095
games played:	2200	wins: 12.0
games played:	2300	wins: 12.347826087
games played:	2400	wins: 12.625
games played:	2500	wins: 12.84
games played:	2600	wins: 13.1153846154
games played:	2700	wins: 13.2592592593
games played:	2800	wins: 13.3214285714
games played:	2900	wins: 13.4827586207
games played:	3000	wins: 13.3666666667
games played:	3100	wins: 13.2580645161
games played:	3200	wins: 13.375
games played:	3300	wins: 13.3333333333
games played:	3400	wins: 13.3529411765
games played:	3500	wins: 13.6285714286
games played:	3600	wins: 13.6111111111
games played:	3700	wins: 13.7027027027
games played:	3800	wins: 13.7105263158
games played:	3900	wins: 13.641025641
games played:	4000	wins: 13.875
games played:	4100	wins: 13.7804878049
games played:	4200	wins: 13.6904761905
games played:	4200	wins: 13.6904761905
games played:	4300	wins: 13.6279069767
games played:	4400	wins: 13.6136363636
games played:	4500	wins: 13.6666666667
games played:	4600	wins: 13.8043478261
games played:	4700	wins: 13.829787234
games played:	4800	wins: 13.875
games played:	4900	wins: 14.0204081633
games played:	5000	wins: 13.98
games played:	5100	wins: 13.9803921569
games played:	5200	wins: 13.8846153846
games played:	5300	wins: 14.0188679245
games played:	5400	wins: 14.037037037
games played:	5500	wins: 14.0363636364
games played:	5600	wins: 14.0535714286
games played:	5700	wins: 14.0350877193
games played:	5800	wins: 14.0689655172
games played:	5900	wins: 14.1186440678
games played:	6000	wins: 14.2333333333
games played:	6100	wins: 14.2786885246
games played:	6200	wins: 14.3387096774
games played:	6300	wins: 14.3650793651
games played:	6400	wins: 14.390625
games played:	6500	wins: 14.3384615385
games played:	6600	wins: 14.3787878788
games played:	6700	wins: 14.328358209
games played:	6800	wins: 14.2794117647
games played:	6900	wins: 14.2898550725
games played:	7000	wins: 14.3428571429
games played:	7100	wins: 14.3802816901
games played:	7200	wins: 14.4166666667
games played:	7300	wins: 14.397260274
games played:	7400	wins: 14.4054054054
games played:	7500	wins: 14.3466666667
games played:	7600	wins: 14.3947368421
games played:	7700	wins: 14.3376623377
games played:	7800	wins: 14.2692307692
games played:	7900	wins: 14.253164557
games played:	8000	wins: 14.15
games played:	8100	wins: 14.1234567901
games played:	8200	wins: 14.0487804878
games played:	8200	wins: 14.0487804878
games played:	8300	wins: 14.0361445783
games played:	8400	wins: 14.0833333333
games played:	8500	wins: 14.1764705882
games played:	8600	wins: 14.2093023256
games played:	8700	wins: 14.183908046
games played:	8800	wins: 14.2159090909
games played:	8900	wins: 14.2471910112
games played:	9000	wins: 14.2666666667
games played:	9100	wins: 14.3076923077
games played:	9200	wins: 14.3043478261
games played:	9300	wins: 14.2580645161
games played:	9400	wins: 14.1914893617
games played:	9500	wins: 14.1684210526
games played:	9600	wins: 14.1979166667
games played:	9600	wins: 14.1979166667
games played:	9700	wins: 14.1855670103
games played:	9800	wins: 14.193877551
games played:	9900	wins: 14.2323232323
games played:	10000	wins: 14.26
games played:	10100	wins: 14.2871287129
games played:	10200	wins: 14.2352941176
games played:	10300	wins: 14.2233009709
games played:	10400	wins: 14.1923076923
games played:	10500	wins: 14.2
games played:	10600	wins: 14.2075471698
games played:	10700	wins: 14.2056074766
games played:	10800	wins: 14.2314814815
games played:	10900	wins: 14.2293577982
games played:	11000	wins: 14.1636363636
games played:	11100	wins: 14.1801801802
games played:	11200	wins: 14.2232142857
games played:	11300	wins: 14.2389380531
games played:	11400	wins: 14.2105263158
games played:	11500	wins: 14.1913043478
games played:	11600	wins: 14.1551724138
games played:	11700	wins: 14.1538461538
games played:	11800	wins: 14.1610169492
games played:	11900	wins: 14.1512605042
games played:	12000	wins: 14.1333333333
games played:	12100	wins: 14.1074380165
games played:	12200	wins: 14.0655737705
games played:	12300	wins: 14.0243902439
