STARE JOC	+1 la fiecare entity pe sector
SIMULARE	100000 jocuri
			10% random wins
K-means		2048
ALPHA		0.7
GAMMA 		0.3

games played:	100	wins: 2.0
games played:	200	wins: 1.5
games played:	300	wins: 3.33333333333
games played:	400	wins: 4.0
games played:	500	wins: 6.2
games played:	600	wins: 6.66666666667
games played:	700	wins: 7.28571428571
games played:	800	wins: 7.5
games played:	900	wins: 7.44444444444
games played:	1000	wins: 7.5
games played:	1100	wins: 7.18181818182
games played:	1200	wins: 7.5
games played:	1300	wins: 7.38461538462
games played:	1400	wins: 7.64285714286
games played:	1500	wins: 8.06666666667
games played:	1600	wins: 7.9375
games played:	1700	wins: 8.41176470588
games played:	1800	wins: 8.88888888889
games played:	1900	wins: 9.26315789474
games played:	2000	wins: 9.3
games played:	2100	wins: 9.42857142857
games played:	2200	wins: 9.54545454545
games played:	2300	wins: 9.86956521739
games played:	2400	wins: 9.95833333333
games played:	2500	wins: 10.12
games played:	2600	wins: 10.3076923077
games played:	2700	wins: 10.7407407407
games played:	2800	wins: 10.8928571429
games played:	2900	wins: 11.0
games played:	3000	wins: 11.0333333333
games played:	3100	wins: 11.0322580645
games played:	3200	wins: 11.125
games played:	3300	wins: 11.1818181818
games played:	3400	wins: 11.0882352941
games played:	3500	wins: 11.0285714286
games played:	3500	wins: 11.0285714286
games played:	3600	wins: 11.0833333333
games played:	3700	wins: 11.1351351351
games played:	3800	wins: 11.1052631579
games played:	3900	wins: 11.1282051282
games played:	4000	wins: 11.25
games played:	4100	wins: 11.3414634146
games played:	4200	wins: 11.4047619048
games played:	4300	wins: 11.3953488372
games played:	4400	wins: 11.5227272727
games played:	4500	wins: 11.6
games played:	4600	wins: 11.7391304348
games played:	4700	wins: 11.8510638298
games played:	4800	wins: 11.8958333333
games played:	4900	wins: 11.7551020408
games played:	5000	wins: 11.82
games played:	5100	wins: 11.8235294118
games played:	5200	wins: 11.9230769231
games played:	5300	wins: 11.9433962264
games played:	5400	wins: 12.0185185185
games played:	5500	wins: 12.1272727273
games played:	5600	wins: 12.1785714286
games played:	5700	wins: 12.2280701754
games played:	5800	wins: 12.3965517241
games played:	5900	wins: 12.4576271186
games played:	6000	wins: 12.5333333333
games played:	6100	wins: 12.5081967213
games played:	6200	wins: 12.4677419355
games played:	6300	wins: 12.5079365079
games played:	6400	wins: 12.46875
games played:	6500	wins: 12.4615384615
games played:	6600	wins: 12.5151515152
games played:	6700	wins: 12.4925373134
games played:	6800	wins: 12.5147058824
games played:	6900	wins: 12.4927536232
games played:	6900	wins: 12.4927536232
games played:	7000	wins: 12.5142857143
games played:	7100	wins: 12.4788732394
games played:	7200	wins: 12.4861111111
games played:	7300	wins: 12.4246575342
games played:	7400	wins: 12.4594594595
games played:	7500	wins: 12.4533333333
games played:	7600	wins: 12.4473684211
games played:	7700	wins: 12.5714285714
games played:	7800	wins: 12.5384615385
